Question,Subj_Q,Answer,Subj_A,Domain
ما هو UX Writing ونصائح الكتابة لتجربة المستخدم,0,شكر ا لك على المقال  صراح ة أصبحت انتظر مقالاتك حيث أي مقال تقوم بنشره أقوم بالدخول إليه فور ا وقراءته يؤثر في نهاية الأمر على العائد على الإستثمار ROI في مشروعك شركتككلام سليم جد ا  وصحيح  حيث أن ه في متجرنا الإلكتروني  قمنا بتغيير بعض الكلمات العامة في التصميم الخاص بصفحة الدفع  وصفحة الكارت  بالإضافة إلى وضع ثوابت في صفحة المنتج  حتى صفحة Thank you page قمنا بعمل تغييرات بسيطة في الكلمات  مثل ما هو ظاهر في الصورة المتحركة في المقال    مما أدى من هذه التغييرات والكلمات البسيطة إلى زيادة ثقة اليوزر بمتجرنا  وزيادة عمليات الشراء بشكل كبير  حرفي ا أبسط وأصغر الأمور قد تصنع فارق كبير  وهذا عن تجربة     تغيير كلمة بسيطة كانت كفيلة برفع المبيعات من 1000  مثلا  إلى 4000  في شهرلذلك UX Writing م هم بنظري جد ا أن  يكون متواجد في الفريق  وخصوص ا في مجال التجارة الإلكترونية,0,تطوير الويب
تطبيق بوابة دفع مخصصة تعمل بالإعتماد على Payfort وإطار عمل Laravel,0,شكر ا لك يا طيب  سؤال واعذر جهلي في نقطة البرمجة  فخبرتي بسيطة بها  هل تصلح للاستخدام في الإيكوميرس  على سبيل المثال الشوبيفاي  هل ي مكن ربطها من خلال API بشوبيفاي على سبيل المثال أو كيف يتم الأمر أو لا ي مكن,0,تطوير الويب
لما تفشل اغلبية مشاريع الويب ,0,أعتقد أن ذلك منطقي لأن مشاريع الويب معظمها مشاريع ريادية ومن المعروف أن  90 بالمئة من المشاريع الريادية تفشل  سواء في الغرب أو لدى العرب  لكن لا أرى أن ربطك بين لم تعد تعمل والفشل صحيح فمثل ا هناك مواقع توقفت ليس لأن صاحبها فشل بل لأن 1  اهتماماته تغيرت2  لم يعد يجد وقت ا3  الموقع أدى مهمته التي ط و ر لأجلها وانتهى غرضه طبع ا فيه كثيرون أوقفوا العمل عليها لأنه تبين لهم أن السوق لا يرى فكرتهم مجدية أو لنفاد التمويل لكن انتبه إلى أن فتح موقع والتجريب لتكتشف أن فكرتك غير مجدية مفيد جد ا لصحة البيئات الريادية لكن قصص الفشل العربية المنشورة عددها قليل جد ا بالتالي نستنتج أن هناك ثغرات كبيرة في بيئة أعمالنا الريادية بودي لو ت فتح المزيد من المواقع وتغلق بصفة MVP فذلك سيعزز ما يلي 1  ينعش سوق أسماء النطاقات العربي2  يسرع من استكشاف السوق فعندما نجرب كما هائلا من الأفكار نكتسب الكثير من المعارف 3  الخبرة البرمجية والتقنية ترتفع لأن الأفكار تحتاج من ينفذها وأحيان ا لا يكون تنفيذها بسيط اكم موقع ا عربي ا رصدته أنت أغلق  ألف  ألفين تفقد هنا 15 ألف قصة فشل ذريع  سنوي ا  A global movement where stories about business failure are shared monthly  We live life without filters in more than 318 cities from 81 countries ,1,تطوير الويب
بيب بيكس موقع عربي يقدم تصاميم خلفيات ايقونات بصيغة PSD,0,القالب مازال غير مناسب  واعذر صراحتي يا طيب  ولكن أنصحك باستخدام قوالب المجلات  والتي لها الكثير من الألوان بما أن  الموقع متخصص بالفوتوشوب وملحقاته  حيث يمكن تصميم الصفحة الرئيسية بأكثر من كاتيجوري  وهذا سوف يجعل الزائر يبقى أكثر في موقعك    بالإضافة إلى ذلك حاول إضافة بعض الوصف في المواضيع أكثر من الموجود,1,تطوير الويب
ما الهدف من اشعار الكوكيز في المواقع  ,0,يفرض الاتحاد الأوربي ذلك إذا كان للموقع زائر واحد في أراضي الاتحاد الأوروبي وجب عليه وضع تنبيه,0,تطوير الويب
ماذا حدث لمشروع أعجوبة ,0, alsadi  لا أعلم إن كان يزور الموقع هنا أم لا    بشكل عام المشاريع العربية معظمها جهود فردية ولذلك تتوقف عندما يهجرها المطور الرئيسي بسبب انشغاله بأمور أخرى في الحياةمع الأسف أيضا  مجتمع لينكس العربي متوقف منذ فترة وهناك مشاريع أخرى تعاني مثلا  عرب آيز ربما متوقف أو ربما لا أحد يهتم بتحديث الموقعاستمرار المشاريع موضوع صعب ومعقد جدا  هناك دراسات أجنبية مختلفة عن أسباب نجاح وإخفاق المشاريع مفتوحة المصدر واستمرار المجتمعات أو موتها  باختصار كل مشروع أو مجتمع يجب أن يجد حلا  مناسبا  لوضعه الخاص وقليلا  ما تجد حلولا  عامة تنفع لعدة حالات مختلفة,1,تطوير الويب
إعادة تصميم واجهة فيسبوك    اللغات المستعملة HTML CSS هل من تعديلات أو اقتراحات ,0,تصميم جيد   الألوان والخط متناسق إليك بعض الملاحظات 1  الواجهة عربية أي اتجاه النص حركة العين  الإفتراضي من اليمين لليسار لذلك إجعل عناصرك تتنقل من اليمين لليسار   على سبيل المثال نموذج تسجيل الدخول يجب أن تنقل فيه زر تسجيل الدخول إلى يسار مربعي كلمة المرور والبريد الإلكتروني لأنه آخر خطوة يفعلها العميل عند إدخال معلوماته 2  كلمتي  كلمة المرور  و  البريد الإلكتروني  في نموذج تسجيل الدخول إجعلمها داخل حقلي الإدخال الخاص بهما مع جعل لونهما رمادي خفيف كما في حقول إنشاء الحساب 4  النصوص في حقول تسجيل الحساب الأصح أن تجعل المحاذات فيها على اليمين وهي المحاذات الإفتراضية للغة العربية وليس الوسط   لاسيما حقول تاريخ الميلاد المحاذاة فيها يسار 5  وحد  عناصرك   على سبيل المثال الحواف المدورة للحقول في نموذج تسجيل الدخول أصغر منها في حقول إنشاء الحساب 6  لا تجعل عناصرك تطفو على السطح متفرقة  المقصد إجعل عناصرك متصلة لا وكأنها كل  يغني على ليلاه   أنت هنا مثلا  لديك ثلاث عناصر مهمة في واجهتك وهي  عنصر تسجيل الدخول  و عنصر إنشاء الحساب  و عنصر الصورة  تلاحظ أن عنصر تسجيل الدخول لا يحاذي عنصر إنشاء الحساب لذلك هناك إحساس بأن هذه العناصر متفرقة   لاحظ الصورة الأصلية لواجهة الفيسبوك العربية وستتضح النقطة ,1,تطوير الويب
Gatsbyjs السرعة و الأمان و التكلفة المنخفضة   أنصح بقراءة هذا الموضوع للمدونين,0,شكرا أخي على مشاركة التدوينة أن رهن إشارة المهتمين بالموضوع في حال كانت لديهم أية أسئلة ,1,تطوير الويب
كيف اتعامل مع المطور   هل اعطيه باسورد لوحة التحكم والسيرفر  ,1,انت تعرف تركب سكربتات   كالووردبريس   جوملا   PHPBB مثلا  ,0,تطوير الويب
كيف أتعلم تصميم قوالب البلوجر بالبرمجة,0,مجرد نصيحة اخي لا تضع وقتك في برمجة قوالب بلوجر الى اذا كان عندك مشروع مدروس يعتمد على هذا الامر فالراي رايك  لكن لا اضن ان برمجة قوالب بلوجر مشروع ناجح اذا كانت لديك نية في تعلم برمجة واجهات الماقع حقا فتعلم برمجة قوالب ووردبريس بالاضافة اللا انها اسهل من بلوجر و مجتمعها على الانترنت كبير اي ان اي مشكل تقع فيه تجد له جوابا على الانترنت,1,تطوير الويب
ممكن رايكم في موقعي,0,عمل جيد لكن يجب تحسين التجاوب مع الهاتف ,1,تطوير الويب
هل Automattic تمتلك WordPress    مدونة فؤاد بدوي,0,ب ني WordPress في الأساس بسبب توقف المطور الرئيسي Michel Valdrighi لبرنامج التدوين b2 cafelog عن تطويره  فقرر ٢ من مستخدميه وهما Matt Mullenweg و Mike Little بناء برنامج تدوين جديد مبني علي b2 cafelog اظن ان Michel Valdrighi يبكي حاليا   D,0,تطوير الويب
Hi Slider For Elementor   اضافة سلايدر لعرض المقالات بصورة جميلة للووردبريس,1,باذن الله تكون فاتحه خير ورزق عليك,1,تطوير الويب
كيف تتعاملون مع الجداول عندما تكثر أعمدتها ,0,لا تقم بعرض كل شئ بالجدولفالجدول هو ملخص لعرض المعلومات الاساسية فقط ولو وضعت كل المعلومات لن تستطيع التميز بينهمقم بوضع المعلومات الاساسية وزر المزيد لفتح صفحة أو شاشة   لعرض باقي المعلوماتإذا كان ولا بد ان تعرض كل شئ في الجدول فيمكنك تجميع البيانات المتشابه ليختار المستخدم أي بيانات يريد رؤيتهاوهناك أشياء ليس لها أهمية مثلا خانة مكتملة فوجود تاريخ إكمال يعطي نفس المعني    لماذا تكتب الرابط كاملا يمكنك كتابة كلمة رابط فقط أو تحويل اسم الكورس لرابط   الكورسات يمكنك كتابة كورسين واضافة tooltip تظهر بباقي الكورسات عند الوقوف فوقها Hover,0,تطوير الويب
Tchotchat شبكتي الإجتماعية المجهولة,0,منصة جيدة   لكن لأحد يرغب بتسجيل الدخول بإستخدام منصات التواصل   وبما أن الموقع جديد فلا أحد يؤمن له   يجب أن تخصص تسجيل دخول خارج منصات التواصل او من دون طلب access لأي منصة ع الانترنت ,1,تطوير الويب
هل توجد فرص عمل لمن له مستوى جيد في HTML CSS  JavaScript  jQuery فقط ,0,توجد شركات تطلب موظفين تحت مسمى Front end Developer التقنيات التي ذكرتها تكفي لهذه الوظيفة لكن هناك شيء ناقص   وهو عليكك ان تتعلم فريموورك لجافاسكربت كـ  انقولار او رياكت او فيو   بحسب ما يطلب في السوق المحلي في بلدك   في بلدي مثلا اغلب الشركات تعمل على انقولار وبعضها على ريآكت والقليل جدا على فيو  ,0,تطوير الويب
كيف يمكنني تحويل جهازي بنظام ubuntu الى سيرفر لتشغيل مواقع تجريبية ,0,السلام عليكمتفضل نفس السؤال موجود علي منتدي ubuntu,0,تطوير الويب
أظن أن هذا إول إفتتاح لحسوب د خ عندما كان إسمه أرابيا د خ,1,د خحقا  لا أرى أن الموقع محافظ على رؤيته حيث تغيرت القوانين والاهداف بشكل كبير,1,تطوير الويب
هل يمكن الدفع في بايبال من بطاقة مدى ,0,مدى هي الشبكة الخاصه ببطاقات الصرافه بالسعوديه ونعم هي مربوطه بفيزا وهي تعمل ايضا  على الباي بال نظرا  لانها تستخدم خدمة الفيزاشي مهم جدا  هو ان يكون الشخص حامل هذه البطاقه مفعلا  لخدمة الشراء عن طريق الانترنت عن طريق حسابه في البنك الخاص به,0,تطوير الويب
هل يوجد حل او استضافة مجانية ممتازة تتحمل الضغط عليها  ,0,غالبا  هذا بسبب تجاوز حد استخدام CPU المحدد في الاستضافة المجانية  الاستضافة المدفوعة بالتأكيد افضل كثيرا  لتحمل الضغط  لكن يمكنك تجربة خدمات الاستضافة المجانية هذه فهي افضل عند استخدام WordPressFree web hosting service that lasts forever  We helped more than 2 5 million people to start a business or a personal website  We are here   ,0,تطوير الويب
ماهي ارائكم وانتقاداتكم حول أول قالب ووربريس أقوم بطويره ,0,لست مطور لكن الشكل العام أعجبنيعند إطلاقك للنسخة النهائية إذا كان متوفر باللغة العربية  سأتشرف بشرائه وتركيبه على مدونتي المخطط لإطلاقها  أفضل مايمكن للشخص أن يفعله لدعم المبدعين سواء كانوا مبرمجين مصممين او مسوقين أضف أنني لا أحبذ فكرة إبتياع المواد المشهورة فقط  وفقت ,1,تطوير الويب
متى يمكنني معرفة ان مشروعي جاهز للاطلاق ,0,حاول الابتعاد عن الاحتفاظ ببيانات المستخدمين  كما يمكنك استاجار من يفحص حماية موقعك,0,تطوير الويب
هل يمكن للكفيف  ان يكون مصمم ويب,0,يمكنها أن تصبح مطورة وهناك مطورين كفيفين يعملون في جوجل ,0,تطوير الويب
كيف احسب سعر الخطة plan حسب استخدام المستخدم للسيرفر,0,اريد حتى لو استشارة مدفوعة     ,0,تطوير الويب
كيف يمكنني توجيه الدومين او الساب دومين الى اخر   مع الاحتفاض بما بعد النطاق,0,فيك من مثلا  خلال وضع الميتا تاج في ال head الصفحة للموقع القديم وتضع الموقع الجديد في الميتا هذا  اعذرني انا اكتب من الموبايل ليس بإمكاني شرح الكثير,0,تطوير الويب
كم يجب ان يكون حجم المشروع  website ,0,هل يشمل ايضا مكتبات و فريموركات ام فقط الكود الذي تكتبه بنفسك   الحجم قليل ومناسبالاهم انه يعمل واداءة جيد وفقط لا تهتم بالحجم خاصه مع اكواد php فقط اذا كانت اكواد js html css يهم فيها الحجم لان مستخدم سيقوم بتنزيلها عنده واذا كانت لديك مكتبه استعمل رابط cdn لتسريع موقع بدل رفعها مع مشروع,1,تطوير الويب
تطوير قسم تقنية المعلومات,0,اول شيء عليك ان تحدد ما هو هدف القسم   ما هو الشيء الذي يحاول القسم إنتاجه بعد ذلك اسأل نفسك ماهي الاشياء التي احتاجها إلى الوصول الى الهدف بشكل أكثر جودة وأقل تكلفة ما هي مهام قسمك حتي نستطيع ان نساعدك بالأفكار  لان الموضوع مفتوح جدا ,1,تطوير الويب
ما رأيكم في موقعي,0,الموقع ياصديقي ك تصميم رائع من وجهة نظري   أمل منك أن تعذر صراحتي و تتقبل نقدي بوجهة نظر إيجابية المحتوى ياصديقي مكرر وضعيف جدا  تصفحت أحد المقالات و وجدت أن هناك تشابه بنسبة عالية في مقال على موقع أخر   إذا أردت النجاح يجب أن تخلق المحتوى و تتعب على ذلك يجب أن تكتب المقالة كاملة من بنات أفكارك   ما يحدث معك لست أنت المذنب فيه بل نسبة عالية من العرب   لذلك المحتوى العربي على الأنترنت ضعيف جدا  وكثير من المواقع العربية محتواها نسخ ولصق   إذا ما المميز فيهم لاشي لذلك لا نعرف عنهم شي وكثير من تلك المواقع ينتهي بها المطاف أن تركوها أصحابها   علي سبيل المثال هناك من يبذل ست ساعات لنسخ عدة مقالات و التعديل عليها و إضافتها إلى موقعه فينتج عن ذلك محتوى ضعيف و جودة سيئة بينما لو بذل الست ساعات لخلق مقالة واحدة واحدة فقط و نشرها على موقعه أو على موقع شبيه بحسوب صدقني سوف يجد تفاعل مع المحتوى بشكل يرضيه   ولماذا ذلك ياصديقي لأن المحتوى الجيد يفرض نفسه أرى يا صديقي أن تبحث و تقرأ عن خلق المحتوى فهناك عدة طرق لخلق المحتوى لا أرغب في سردها هنا    بعد ذلك أستثمر وقتك في خلق محتوى بجودة عالية    أتمنى لي ولك التوفيق يا صديقي,1,تطوير الويب
كيف أنفد هذه الشروط بالجيكوري  او جافاسكريبت  ,0,هذا الكود  بالجافاسكريبت اعادة التوجيه من http  الى httpsواذا اردت اعادة التوجيه من https  الى httpالاكواد موجودة هنا في الرابط اسفله ,0,تطوير الويب
مشكله فى لوحه تحكم الووردبريس,1,تثبت من ملفات الموقع هل هي موجودة قد تكون مسحت  ,1,تطوير الويب
لماذا تتحول الروابط التي تحوي عبارات عربية إلى رموز عند نقلها,0,ذلك يسمى  URL Encoding  لمعرفة المزيد عنه يمكنك رؤية الرابط يمكنك ارجاعه لنص عربي عبر دالة جافا سكريبت decodeURI او عبر اي موقع يقدم هذه الخدمة   مثل هذاDecode from or Encode to URL encoded  also known as Percent encoded  format   Here  with our simple online tool ,0,تطوير الويب
كيف يمكن جعل تطبيق ويب محلي مغلق المصدر  ,0,نعم يمكنك دالك بستخدام Zend Guard,0,تطوير الويب
نشر تطبيقي الأول    أسهل وأسرع طريقة للحصول على موقع إلكتروني,0,فكرة قوية جدا  لكن انصحك بتطوير خدماتك و تقوية سيرفراتك لكي لا يمل العملاء من كثرة المشاكل في المستقبل و انصحك بعدها بالتسويق,1,تطوير الويب
ما رائيكم بهذا الموقع ماذا ينقصه من تعديلات,0,جميل  اعجبني تصميمه ,1,تطوير الويب
هل يمكنك إيجاد المفتاح المخبىء في هذا الموقع  ,0,مامعنى ده   لا تبخلن   بد ن ي ا وهي مقبلة                              فليس ينقصها الت  بذير والس  رف فإن تول  ت فأحرى أن تجود  بها                           فالش  كر  منها إذا ما أدبرت خلف ,0,تطوير الويب
اراءكم لتطوير هذه المنصه,0,لست بخبير و لكن اتمنى لك النجاح,1,تطوير الويب
رتبها   الخدمة التي ستوفر لك موضوع متكامل من اي سلسلة تغريدات في تويتر,0,فكرة جميلة ورائعة  يا ليت لو ي ضاف فاص ل خفيف جد ا بين تغريدة وأخرى لو تضاف أيقونة للوصول للرابط الأصلي لأي تغريدة اختيار خط  أجمل مثل كالبيريأو توفير خيار لتغيير الخطوط10  تغريدات  وليس 10  تغريدة   أيقونة العين مع tip صغيرة على الأيقونة توض ح  بدلا من عدد المشاهدات   ,1,تطوير الويب
اين يكمن الفرق في استخدام Dev c   و Turbo c   c,0,الاثنتين بيئة تطوير لا اعلم عن اى نسخة Turbo c   تتحدثين لكن Turbo c   من تطوير بورلاند  حاليا اصبحت Embarcadero   له نسخة تعمل تحت DOS و نسخة تعمل تحت ويندوز  Dev c   بيئة تطوير مفتوحة المصدر و هى تستخدم نفس المترجم الخاص ببورلاند  نفسه المستخدم فى turbo c    و هو مترجم bcc مترجم bcc احدى أفضل المترجمات للغة سى سى   و يتميز بسرعته فى الترجمة  تقريبا هو اسرع مترجم متوفر حتى الأن  بما ان كلاهما يعمل بنفس المترجم  فيمكنك اختيار بيئة التطوير التى ترتاحين اليها  الشكل  طريقة الكتابة  الاختصارات  الخ  من ناحيتى الشخصية كلا بيئتى التطوير ليسوا فى تحت دائرة الضوء حاليا  Turbo c   قديم   و Dev C   كان شهيرا فى اواخر التسعينات و اوائل الالفينات لكنه اختفى حاليا يمكنك استخدام بيئة تطوير حديثة و من ناحيتى انصحك بC   Builder Communitry Edition  من شركة Embarcadero و هى نسخة مجانية هذا هو التطوير و النسخة الحالية من Turbo C  يمكنك ايضا استخدام Visual C   من مايكروسوفت   هناك نسخة مجانية ايضا Community ,1,تطوير الويب
خبراء البرمجة من سبق وبرمج لوحات تحكم للتطبيقات ب Node js أو  PHP  يعطينا تعليقة  عن الاسرع والافضل,0,ابدا  في nodejs مع فريمورك express وقاعدة بياناتmongodb ولو اردت استخدام الفرونت اند استخدم الانجلر  لمزيد من المعلومات ابحث عن ما هو ال MEAN js بختصار  ,0,تطوير الويب
كيف ارسم مساري في تعلم تصميم و تطوير الويب و علم الشبكات,0,لو نفسك تتعلم ويب أو تعرف حد ناوى يتعلم ويب فده فيه كل التفاصيل اللى ممكن تحتاجها من كورسات و أدوات و كله تقريباأولا لازم تكون مفرق بين حاجتين فى الويب Front end و ديه الحاجات اللى بيشوفها المستخدم أو client و تانى حاجة الBack end و ديه اللى بتكون على السيرفر اللى عليه الموقع فممكن تعتبر انه الموقع ده موجود على جهاز تانى و انته داخل تتصفحه الناس اللى بتشتغل فى الويب بيتقسموا حاجات كتير بس فى العموم هما 3Front end DeveloperBack end DeveloperFull stack Web Developerالاتنين الأولانين واضحين بيعملوا ايه و التالت ده اللى بيعرف يعمل الاتنين التانيين مع بعض زى العبد لله كده  Dبالنسبة للكورسات عشان تبدأ تقول يا رحمن يا رحيم فى ويب هتتعلم 8 حاجات أساسين أى حد شغال فى الويب سواء فريلانس او فى شركة بيكون عارفهم و هما HTML  CSS  JavaScript  Bootstrap  jQuery  PHP  MySQL  WordPressأول خمسة دول ممكن تشتغل بيهم Front end developer و الباقى Backendبس النهارده معظم اللى فى السوق بيعرفوا كله يعنى لازم ال8 دولطيب مين كل واحدة من دول بقى و ايه الكورسات و المدة المقترحة لتعلمهم  Dاولا HTML ديه اللى بنستخدمها فى تصميم هيكل الموقع أو البينية الأساسية و الى حد ما سهل تعلمها فيما عدا لو دخلت فى الحاجات الأحدث فى HTML5 زى SVGالفيديو ده عشان تاخد فكرة سريعة  In this crash course I will cram as much about HTML that I can  This is meant for absolute beginners  If you are interested in   الكورس ده مناسب جدا  The 1st video in our HTML5 Tutorial series  This video contains no actual coding  but does give you a view into what we will be   المدة  أسبوعبعديها الCSS و ديه اللى بتعمل الشكل الجمالى و الألوان و المظهر و الصراحة أول ما هتتعلمها هتقول يااااه ديه سهلة أوى بس ديه بقى أصعب حاجة فى الFront و بتعمل بيها البدع فى التصميمالكورس  المدة  أسبوعو بعد ما تتعلمها اتعلم حاجة اسمها SASS و هى زى الCSS بس هتخليك تكتب كود نضيف و هى سهلة جدا و كفاية عليها ساعة بالكتيرالفيديو  Get the Code Here   http   goo gl 4oRAxi Install Rails   http   goo gl lW48LS Normalize SCSS File   http   goo gl 4DCjrx Support me on Patreon   https   www    ندخل بقى على الJavaScript و هى ملهاش أى علاقة بالJAVA من الأول كده عشان نكون واضحين  D و ديه اللى بتعمل الحركات و الحاجات اللى فيها تفاعل مع المتصفح و الى حد ما كمان بقت لغة لحاجات تانية كتيرة جدا هقول مثال عليها فى البوست تحت الكورس  Get hands on experience scripting in JavaScript  Learn how to work with objects  variables  data types  conditionals  functions  loops  closures  the DOM  ES6  and more المدة  أسبوعنتعلم بقى Bootstrap و ديه اللى بتخلى الموقع بقى Responsive و يشتغل نفس الموقع على الموبيل و اللاب و التاب و أى جهاز يجى فى دماغك و مفيش موقع بيتعمل من غيره النهارده  لو عرفت CSS فهو كفاية عليه ساعة بالكتير و الباقى تطبيق و كمان اتعلم حاجة اسمها Flexbox عشان بقى الكل شغال بيها فى الويب النهاردهالفيديو Get the Cheat Sheet Here   http   goo gl M5G7wj Subscribe to Me  http   bit ly 2FWQZTx Best Bootstrap Book   http   amzn to 1RHdfPr Like the channel  Conside   كورس FlexBox   ا Learn how to use Flexbox  the CSS3 Flexible Box Model  to create responsive HTML forms الjQuery ديه مكتبة فيها أكواد جاهزة للJavaScript و تعتبر سهلة جدا و بتسرع الشغل فديه مش صعبةالكورس  Learn jQuery  Joe Marini covers the essentials of this popular JavaScript library  Find out how to use jQuery to add dynamic content  remote data  animation    المدة  أسبوعندخل بقى على الحاجات التقيلة و ده الجد فى شغل الويب و هو جزء الbackend و نبدأ بالPHP و هى الحاجات اللى بتتنفذ على السرفر المستضيف للموقع و بعد كده تكون ملفات HTML عشان تتبعت للمستخدم او تخزن حاجة فى الdatabaseو الكورس ده من أجمل الكورسات اللى هتخدها و معاه كمان حبة MySQLالكورس We all start somewhere  When it comes to web development with PHP  well  your first stop is this series  Designed specifically and exclusively for beginners    المدة  أسبوعينفيه منافس للPHP او بعد ما تتدروسوا الكورس حاجة اسمها Apache المنافس ليها هى الNodeJS و ديه بقى بتتكت بالJavaScript بس خليكوا فى الPHP حاليا عشان هى الأوسع انتشاراالMySQL ديه نوع من أنواع الdatabase اللى بنخزن فيها الداتا و فيه لغة عشان نتعامل بيها معاها و هى الSQL و ديه اتعلمتها من كتر الشغل و المرجع الأساسى لأى web developer العملاق W3Schools و ده مرجع لأى حاجة حابب تتعلمهااللينك  آخر حاجة و ديه ديما اللى هتلاقى عليها خلاف و هى المكتبات اللى بتسرع الشغل و تطوير أى موقع و فيه أنواع كتير جدا زى WordPress و Laravel و CodeIgniter و حاجات تانى كتيرةأنا اخيارى كان على ال WordPress لأنه مستخم فى أكتر من 20  من موقع الكوكب النهارده و له اضافات تانى كتيرة جدا و حماية و كمان open source يعنى ممكن تعتبره Linux فى عالم الOperating Systemsاحسن كورس خدته هو طويل بس هيغطى معاك اوىالكورس  Learn how to create an eCommerce website with an online store shopping cart in WordPress  An Overview of the How Ecommerce Works on website  Learn   المدة  3 أسابيعفيه كورس بقى حلوا جدا مجمع قشور من ال8 حاجات اللى فوق ديه و هيكون مناسب تبدأ بيه فى الأول عشان تاخد نبذه حلوة عن كل حاجة و هو من على Udemy وسعره ديما بيتغير عشان بيكون عليه عروض فده مثلا دلوقتى ب15 دولار فهيكون مناسب كبداية لو عاوز حاجة فى مكان واحد فى الأولالكورس  ,0,تطوير الويب
لمبرمجي الـ  Full Stack   ما هي خطوات العمل التي تعتمدونها ابتداءا من استلام المشروع من العميل الى التسليم النهائي ,0,الجلوس مع العميل   شخصيا او سكايب   لفهم المشروع و الهدف بدون الدخول في التفاصيل التقنية اذا كان العمل هو أتمتة عمل ما  مثل موقع إدارة مشروع احاول ان اذهب  لمكان العمل ليومين او ثلاث و التحدث مع الموظفين و المستخدمين النظاماذا كان العمل هو موقع لخدمة ما  أحاول التكلم مع الزبائن أو المستخدمين العاديينرسم مخطط بسيط المهام التي يجب ان تكون و الخواص التي يجب ان تكون موجودةمن المخطط احدد الوقت و التكلفة و إنجاز mockupاصنع العقد و اوقعه من قبل العميلالبدء بالعمل بعد استلام الدفعة الأولية   لا ابدا بدون جزء من المبلغ المتفق   تحميل ال boilerplate الخاص بي و البدء في إنتاج الـ MVPبعد اكمال MVP أخذ رأي العميل به و إنجاز التعديلات اكمال المشروع بتقسيمه إلى milestone و اخذ جزء المبلغ النهائي مع انتهاء كل milestone آخر عملية هي إصلاح ال bugs في النظام و صقل النظامالتسليم بعد اخذ اخر دفعة   الموقع و الكود كامل و ال documentation   مدة الضمان تتراوح بين 3 اشهر الى سنه   او حسب الإتفاق    الضمان يتضمن إصلاح bugs و لكن اي تحديث او تدريب او تطوير يعتبر عقد جديد ,1,تطوير الويب
مواقع تحتاج دعما من المستقلين,0,طرح راق  شكرا لك ,1,تطوير الويب
ماذا لو اشتهر المستقلون عبر دعم المشاريع العربية دون مقابل مادي ,0,حل رائع شكرا لطرحك الموضوع  هذه طريقة لتسويق المستقل لنفسه و لكي يبقى في الواجهة و ملما بالتكنولوجيات الجديدة من خلال تطبيق ما تعلمه وهو ما يفعله المبرمجون الآخرون من خلال المساهمة في تطوير البرامج مفتوحة المصدر ,1,تطوير الويب
لماذا موقع أراجيك اصبح سيء  ,1,وأخير ا احدهم نطق بهذا   منذ سنوات كنت اتصفح الموقع عدة مرات في اليوم والغيت اضافة منع الاعلانات لاجلهم   ولكن منذ سنة او سنتين تغير الموقع   اصبح تجاري بشكل كبير وهذا من حقهم لكن ليس لدرجة ينحدر المحتوى واضافة نصف الشاشة لشخصيات لا احد يكترث بها على الاطلاق   فمن يريد ان بعرف من هي سيرين عبد النور او اي احد ليذهب الى ويكيبيديا وليس الى اراجيك ومن يريد تداول العملات سيحتاج بالتأكيد الى مقالات من البداية ليس فجأة من وسط الموضوع ويخبرك اسعارها اليوم    ومحتوى اغلبه يتبع التريند العربي ثم العالمي  وليس علمي  فقط معلومات من هنا وهناك مكدسة  وهذا لم نتلكم عن السلاير المزعج الذي تجد به خليط من الاعلانات والمقالات التسويقية والفيديوهات    ومن عجائب السلاير لا احد يكترث على الاطلاق به لانه يعلق واظنهم يعدنون العملات عن دون علم المستخدم ودليلي سخونة الجهاز ووتعليق المتصفح عند فتح موقعم  ربما ليس دليل كافي لكن هذا يحدث فقط في موقعهم ومواقع اعلنت انها تعدن عن طريق المستخدم  ولا يمكنني التوقف عن عن ذكر انحدار هذا الموقع  لكن سأقول بانني لم اتصفح الموقع منذ اكثر من شهر ,1,تطوير الويب
بينلاب   منصة تساعدك على تعلم حماية وإختراق تطبيقات الويب من خلال التطبيق والتحدي مع الآخرين  ,0,أنصحكم بالتالياولا وضع اسلوب ربحي للموقع حتى لا يأتي يوم وتغلقونه لانهم لاتستطيعون تحمل تكاليفه  كيف تربح المواقع المنافسة ثانيا امر جيد ان يكون الموقع بالعربي لكن بعد ان يصبح الموقع مستقر اول شيئ انصحكم به هو ترجمته الى الانجليزيةثالثا التسويق ثم التسويق وليس هناك ماهو ارخص وافضل من التسويق بالمحتوى افضل شيئ انشاء قناة يوتيوب ومدونة بالانجليزية,1,تطوير الويب
ل بل ب و موقع نبض الكمبيوتر,0,ذكائكم الصناعي ليس ذكيا  جدا  و أشك أنه موجود أساسا لاحظوا كيف أنه لا يعطي نتائج حتى بتغيير حرف واحد  ما هذا الذكاء و أين الفهرسة  يجب أن أكتب نفس الكلمات لأجد المطلوب بمعنى أن طريقة البحث بدائية للغاية و عادية تعتمد على الكلمات فقط مثلا  في SQL استخدام LIKE سيعطينا نفس النتيجة ,1,تطوير الويب
موقعنا الجديد بعنوان   موقع نحن نخدمك   للخدمات المجانية   رأيكم واقتراحاتكم  ,0,موقع جميل بالتوفيق  يحتاج كثير من المجهود أجل شعر العربي فوق الإنجليزي أفضل,1,تطوير الويب
