Question,Subj_Q,Answer,Subj_A
ما توقعاتك لنتيجة المبارة النهائية بين المغرب والجزائر على كأس العرب 2022 اليوم ,0,1 0 الجزائر يارب,0
من هو الفريق الأوروبي الذي تراه مناسبا  لحمل لقب دوري أبطال أوروبا لعام 2022 2023 ,0,من شستر ستي الأكثر فاعلية و عقلية الفوز,1
ما هو أسهل مركز في كرة القدم ,0,حارس مرمى  طبعا,1
عمري تجاوز ال19 سنة وأنا أحب لعب كرة القدم جدا  وكنت ألعبها في صغري بالحارات ولم ألعبها منذ مدة ولا في نادي حتى  ولكن لدي  رغبة وشعور أني أستطيع أن أصبح لاعب كرة قدم  هل هذه مجرد أحلام يقظة أم أنه شيء ممكن حقا  وعلي  السعي وراءه بجانب تفوقي الجامعي ,0,إبدأ ومارس كرة القدم مادمت تحبها ستنجح وتصل يوما  الي هدفكولكن لا تجعل ذلك يؤثر علي مستقبلك العلمي  ,0
ابني ذو الست سنوات لا يحب ممارسة كرة القدم  هل من حلول كي أحببها له ,0,ده طبيعي لان كل شخص يختلف عن الاخر في صفاته وفي ميوله وهوياته   نصيحة    ابحث معه عن ما يجد نفسه فيه ولا تفرض عليه شئ  ,1
أنا من محبي كرة القدم وألعبها أيضا  لكن مشكلتي أني أريد أن أصبح لاعب محترف ولتحقيق حلمي هناك عوائق أولها الدراسة وثانيها قلة الأكاديميات والفرق في مدينتي  هل يمكنني أن أصبح لاعب في سن 20 عام أو أكثر بقليل ,0,ياعزيزي خذ نصيحة مجرب ولا تسأل طبيب كرة القدم هي مستقبلك هي كل شئ في حياتك إذا موهبة فعلا  و قادر علي إحداث الفرق في مباريات وان تبرز نفسك في ملعب و تكون لاعب لك مكانه كبيره في فريق و تقدم مستوي ممتاز أكيد رح تجيك العروض و تحترف علي سبيل لنقل أنك محترف في الوظن العربي في شمال إفريقيا في تونس أو جزائر إذا إنتقلت إلي نادي 250 000  دولار علي أقل تقدير بيكون مكسب لك 125 000 بشكل مضمون بينما وظيفتك المملة بعد تدرس وتتعب رح تعطيك راتب قليل يأخي لو يرجع بي زمن للوراء والله العلي العظيم رح أدخل نادي ومارح أفكر عزيزي تحياتي لك بالتوفيق,0
ما هي الرياضة المتكاملة  عمري 19 عام كنت متوقف عن الرياضة لمدة شهور قليلة وأريد العودة  كنت ألعب سابقا  كرة القدم وقبل ذلك بسنين الإسكواش ومنذ صغري كنت أمارس السباحة  فما هي أفضل وأكثر رياضة متكاملة ,0,كرة القدم أفضل واكثر رياضه متكامله أن أتقنتعا وتستمر,1
أنا شاب عمري 19 وأعشق كرة القدم وأعيش في تركيا  لدي طموح كبير ولكني منذ 6 أشهر بدأت التدريب  هل يمكنني الوصول لطموحي أم فاتني القطار لأني لم أبدأ بها منذ الصغر  الكثير من الناس يحطموني ولكن لا يأثر بي  أريد نصيحة مجرب ومدرب ذو خبرة ,1,مافاتك شي انضبط واستمر ولاتستسلم جاء في بالي لاعب ميلان البرازيلي لميسياس احترف كرة القدم وعمره ٢٩ والموسم اللي فات حقق الدوري فيه امل,0
ما حظوظ الدون للانتقال الى نادي البايرن حسب ما تتناقله بعض الصحف   ام ان الدون سيختار البقاء في الشياطين الحمر ,0,بايرن ميونيخ نفى علنا  على لسان عدة إداريين أنه لانية لهم في التوقيع مع كريستيانو رونالدو  وعلى نفس المنوال تم نفي الأخبار التي ربطته بأندية كأتلتيكو مدريد  وريال مدريد  وتشيلسي  وباريس سان جيرمان حاليا  الأقرب هو استمراره مع مان يونايتد  وهناك إمكانية بنسبة ضعيفة أن ينتقل لدورتموند بما أنه يبحث عن اللعب في دوري الأبطال  وتجربة دوري جديد يمكنك متابعة آخر الأخبار الخاصة بسوق الانتقالات أولا بأول ومن مصادر موثوقة عبر موقع  transfermercato com,0
ماذا أفعل لو كنت من أصحاب النظارات وأحب كرة القدم جدا   لم أمارسها لمدة سنة كاملة بسبب الدراسة  سابقا  كنت ألعب بدون النظارات ولكن الآن لا أستطيع ,0,انا كنت استعمل النظارات واجريت عملية فيمتو ليزك منذ اسبوعين تقريبا   عملية سهلةو منذ اول يوم عملية استطعت الرؤية بوضوح   والحمدلله اخيرا خلصت من النظارات المزعجة   انصحك بالعملية واختر طبيب ماهر,1
عمري 20 سنة وأريد أن أتعلم كرة القدم  هل العمر سيشكل عائقا  لي  وكم من الوقت سأحتاج للتعلم ,0,العمر ليس عائق لتعلم رياضة كرة القدم سيكون عائق في حالة واحده اذا اردت الانضمام الي نادي ولعب بطولات   لان النوادي تختار عن طريق عملية الانتقاء ومن خصائص الانتقاء السن الصغير لذلك تعلم كره القدم لاتقانها وجعلها هواية سيكون خيار جيداما عن الوقت فهي مسألة فردية هناك من يتعلم بسرعه وهناك من يحتاج لوقت لكي يتعلم  وعلي حسب المدرب هناك مدربين يعلمون مهارات بسرعه وهناك ببطئفي كلتا الحالتين ستتعلم باذن اللهاتمني لك التوفيق,0
لاعبين كرة قدم محترفين و مشاهير بدأو العب في سن كبير و أصبحوا من افضل الاعبين في العالم  ,0,أعتقد أفضل مثال هو الأسطورة البرازيلية سوكراتيس الذي احترف في سن 22 عاما   واستطاع التوفيق بين كرة القدم والدراسة  حيث كان اختصاصي في طب الاطفال  وشارك مع البرازيل في المونديال مرتين ,0
كيف أجعل مدة تنفسي طويلة في كرة القدم  يعني أنني أتعب بسرعة ولا أجد الأكسجين الكافي طوال 90 دقيقة رغم أني جربت كل التمرينات لتطويل التنفس ,0,صديقي كنت تبحث عن إجابة وأعطيتك اقتراحا   عليك أن تعمل بجد   عليك أن تعمل بسرعة   إن لم يكن الآن من يوم آخر  يمكنني فقط  تقديم المشورة لك كل التوفيق,1
هل يمكن لشخص لم يمارس كرة القدم في الصغر وبدأ ممارستها بعد عمر 13 عام الاحتراف ,0,نعم ياخي كلشي ممكن في الحياة ا,1
هل تتوقع صعود نادي الزمالك إلى الدور التالي في دوري أبطال أفريقيا بعد هزيمته اليوم أمام الوداد المغربي بالثلاثة ,0,اعتقد الأمور هتكون صعبة بشكل كبير و خاصة أن فريق أتليتكو الانجولى الماتش اللى جى مع الفريق الانجولى أيضا يعنى غالبا المنافسة على المركز الثانى بين الوداد و الزمالك بنسبة ٢٠  و سوف يتكرر نفس سيناريو العام الماضى,0
لماذا تبدو بعض الفرق قليلة الحيلة وهي تلعب أمام فريق مانشستر سيتي الإنجليزي وتجد ذات الفرق قادرة على مقارعة فرق أخرى كبيرة في دوريها  فما السر في ذلك ,0,السيتى فريق كبير ومعاه أحسن مدرب في العالميلعب كرة هجومية يعتمد على الاستحواذ طول المباراة بإضافة لامتلاكه أحسن لاعبين وإنفاق غير عادى على التعاقدات فى كل المراكز,1
هل يمكن للمدرب الشخصي رفع مستواي في كرة القدم ,0,نعم هو يستطبع ان يرفع من مستواك لكن الى حد معين تستطيع اللعب مع اقرانك مثلا فالمدرب لن يجعل منك ميسى او رونالدو الا اذا كنت موهوبا بالفطرة,1
بعدما ضرب المنتخب المصري موعدا  مع المنتخب المغربي في الدور ربع النهائي من مباريات كأس الأمم الإفريقية  من تتوقع أن يفوز بين الشقيقين ويصعد للمربع الذهبي ,0,إن شاء الله مصر,0
أنا عمري 18 سنة وأحلم بأن أصبح لاعب كرة قدم  هل أستطيع تحقيق حلمي رغم سني مع العلم أنني أعاني من مرض الرهاب الاجتماعي ولم ألعب كرة القدم كثيرا  في حياتي ,0,السلام للجميع كل ما تريد أن تقرر  تقرر في أقرب وقت ممكن  الوقت ينفد  الوقت لن ينتظرك ويجب أن يكون قبل ذلك ,1
بعد خروج الجزائر من مرحلة المجموعات  لقاءات دور الستة عشر من بطولة الأمم الأفريقية  مصر تلاقي كوت ديفوار وتونس تلاقي نيجيريا في موقعتين ناريتين  المغرب تلاقي مالاوي في مباراة أسهل نسبيا   من تتوقع من المنتخبات العربية أن يكمل مشوار البطولة ,0,مصر تقابل كوت ديفوار تمامتونس تقابل نيجيريا ازاى المفروض تقابل ثانى مجموعة كوت ديفوار تقريبا غينيا الاستوائية,1
أريد أن أدرس تكتيكات كرة القدم  هل تتوافر كورسات لذلك ,0,في كورسات في موقع barca hub تابعه لبرشلونه ممكن تفيدك,1
عمري 19 سنة  هل فاتني الوقت على كرة القدم ,0,حسنا  إذا كنت لذيك موهبة وعندك قدرة بذنية للعب لابأس نصيحتي أنا 26سنة فاتني الوقت بس أكثر شيء ندمت عليه إنني مادخلت عالم كرة القدم الإحتراف و الشهرة حكاية متعة يعيشها اللاعبين كل شئ فيها ممتع أجوائها الجو مع اللاعيبة و مدربين و النادي أجواء جميلة جدا ,1
ما هي توقعاتك لنتيجة مباراة الجزائر وقطر اليوم في نصف نهائي بطولة كأس العرب  وكيف ترى سيناريو اللقاء بين الفريقين ,0,اتوقع 50 50 بين الفريقين والمقابلة ستذهب الى ركلات الترجيح,0
أنا فتاة عمري 18 عاما   أنا أشجع فريق بايرن منذ 2014 وأحب أن أحلل بعض المباريات بنفسي  فكيف أصبح محللة أو مدربة رياضية  رجاء  لا تخبرني عن المطبخ ,0,من وجهة نظرى قومى بانشاء قناة على اليوتيوب   وصفحة على الفيسبوك   وحساب على تويتر كلهم بنفس الاسم ويكون الاسم مميز  ابدأى بنشر فيديوهات على اليوتيوب وعلى الفيسبوكقومى بعمل ترويج للفيديوهات عن طريق الفيسبوكاكتبى مواعيد المباريات القادمة ونتائج المباريات الاخري والمعلومات القصيرة على تويترمع كل فيديو او بوست على الفيسبوك او تويتر ثبتى هاشتاج باسم قناتكقومى بنشر فيديوهاتك فى المجموعات المهتمة بالدورى الالمانى والمهتمه ايضا ببايرن ميونخ وايضا دورى ابطال اوروبااذا اردتى اى اجابة لا تترددى فى السؤال على مساحتنا هذا باختصار بالتوفيق,0
تم إقالة مدرب نادي برشلونة  فمن هو المدرب الجديد ,0,سيرجي بارخوان,1
أعاني من انحناء الاكتاف وتقوس الظهر  ما الحل ,0,لقد شاهدت هذا الفيديو منذ فترة  أمل ان يكون مفيد لك,0
أنا محترف رياضة التايكوندو عمري 22 سنة وطولي 188 سم ووزني 83 كجم  ماذا تنصحني أن أفعل ,0,انصحك بتعليم الاطفال هذه الرياضه والمداومه عليها وانشاء اكاديميه خاصه بك,0
أنا فتاة عمري 17 سنة وطولي 157 سم وأتمنى أن يصبح 163 167 سم  والدي 173 سم وأمي 165 سم وأخي 179 سم وأنا عندما كنت صغيرة كنت أمارس رياضة الكاراتيه والسباحة وألعاب القوى والآن أذهب إلى الجيم  لدي  تقوس خارجي في الساق  هل من الممكن زيادة طولي ,0,هذه صفات جينيه لاكن عن تجربتي الشخصيه استفيدي بفرد ضهرك زياده بحيث يكون دائما او معظم الوقت في استقامته,1
ماذا سيحدث لجسمي إذا عملت 80 ضغط  wide push up  كل يوم لمدة شهر ,0,سيكون جسمك مشدود و رياضي,1
كيف ترى أداء المنتخب المصري مع المدرب حسام البدري بعد فوزه في افتتاحية مباريات تصفيات كأس العالم 2020 في قطر على منتخب أنجولا بنتيجة 1 0 ,0,زفت,1
كيف يمكنني ممارسة الرياضة في المنزل وأحصل على نفس نتائج الصالة الرياضية ,0,صدقني التمارين بمعدات بسيطه و وزن جسمك كافي انك تبني عضلات نفس الصاله الرياضيه   مش مصدقني ادخل على يوتيوب وابحث عن رياضة الكاليستانيكسحتشوف اشي كتير خرافي,1
من هو الشاعر الذي تخطى جنون العظمة بقصيدته ,1,ألا لا يجهلن  أحد  علينافنجهل  فوق جهل  الجاهليناون ش ر ب  إن  و ر د ن ا الم اء  ص ف وا وي ش ر ب  غ ي ر ن ا ك د را  وط ينالن ا الد  ن ي ا وم ن  أم س ى ع ل ي هاون ب ط ش  ح ي ن  ن ب ط ش  ق اد ر يناب غ اة  ظ ا ل مين  و م ا ظ ل م ن او لك ن  ا س ن ب د أ  ظ ا ل مين ام لأن ا الب ر   ح ت  ى ضاق  ع ن  اوماء  الب ح ر  ن م ل ؤ ه  س ف يناإذا ب ل غ  الفطام  ل ن ا صبي  ت خ ر   ل ه  الج باب ر  ساج د ينا,1
هل يوجد كأس عالم واحد فقط ويتم نقلة للفريق الفائز كل مرة ببطولة كأس العالم  أم يتم إنتاج كأس مخصص كل أربع سنوات ويحق للفريق الفائز بالبطولة السابقة أن يظل محتفظا  بالجائزة ,0,كل اربع سنين يتم انتاج كأس مخصصة للفائزلو كان الكأس ينتقل من فائز الى فائز لما كان للبطولة معنى كانها اعارة يعطونك الكأس ثم ياخذونه,0
هل رحيل ليونيل ميسي من فريقه يعد خيانة للفريق  فقد استمر فيه لمدة 20 عاما  ,0,ميسي هو من خان برشلونة وليس العكس كما يشاع ويصدقه الآخرون  ميسي في نهاية عقده في 2020 ارسل فاكس للإدارة يطلب ترك برشلونة ولكن بارتيميو وقف في وجهه ووجه موكله والد ميسي خورخي ميسي بأن يدفعوا الشرط الجزائي اذا اراد الانتقال وترك نادي برشلونة فلم يستطع اي نادي دفع الشرط الجزائي وهو 700 0000 مليون يورو وبعدها قال ميسي انه لايريد الدخول في منازعات مع نادي حياته واستمر في عقده حتي نهايته في يونيو 2021 ولكن النيه انه يريد ترك نادي برشلونة والذهاب الي باريس سان جيرمان ونادي برشلونة يعاني من الديون بسبب جائحة كورونا والديون المثقله عليه من قبل الإدارة السابقة لم يستطيع تحمل رواتب اللاعبين حيث اقترح عليهم تخفيض الرواتب والبعض وافق والبعض الآخر لم يوافق وحتي الرابطة في الاتحاد الاسباني اقترح عليهم تخفيض الأجور والا لن يستطيعوا تسجيل عقد جديد للاعب ميسي واللاعبين الجدد التي تم التعاقد معهم مؤخرا   ميسي حاول تخفيض من راتبه 50  ولكن النادي لم يستطع وحاول النادي ان يدخل شراكة مع صندوق الإستثمار الدولي   CVC   ولكن في اللحظات الأخيرة تراجع نادي برشلونة عن الدخول وذلك ان صندوق الإستثمار يريد 10  من حقوق البث التلفزيوني للمباريات لمدة 50 عاما  وتم رفضة قطعا   ميسي لو اراد البقاء في برشلونة لعمل المستحيل بنفسه ووجد مليون حل ولكن فضل الذهاب الي باريس سان جيرمان للالتقاء باصدقاءة والذين اثروا عليه كثيرآ والراتب الذي سوف يحصل عليه وهو 37 000 مليون يورو و 15000 مليون يورو هديه لوالده وكيف لا يذهب   برشلونة نادي ولا يقف عند أي لاعب مهما كان حجمه   في يوم من الأيام سيظهر لاعب غيره كما كان رونالدينيو ساحر البرشاااا والحياة تدور,0
هل كان من المجدي إقامة أولمبياد طوكيو بعد تأجيلها عن موعدها الاصلي لمدة عام    خصوصا مع عدم السيطرة علي وباء الكورونا في العالم بالكامل   ,0,نعم بالتاكيد لأن تأخيرها أكثر من ذلك سيؤثر بالسلب على الرياضه,1
اذا كنت مهتم بكرة القدم تابع موقعنا  ,0,متميز الموقع وسأقوم بمتابعتة بإذن الله   واتمني يكون فيه تعاون بينا قريبا من خلال موقعي,1
ما هو أفضل موقع لتحميل مباريات اليورو 2020 ,0,اليك رابط افضل المواقع المشهورة والموثوقة,1
لماذا الناس مولعة بمشاهدة مباريات كرة القدم ما الممتع فيها لدرجة مشاهدتها بكافة الاعمار لمئات المباريات والمراهنة عليها والذهاب للمقاهي لمشاهدتها لم لا يستبدلون المشاهدة باللعب في الواقع علما ان كلا الامرين يستغرق نفس الوقت ملاحظة انا العبها اسبوعيا ,0,لان ما عدنا ملاعب كرة القدم ولا الدولة مهتمة بلرياضة وهم فقط شغلهم الرياضة عكسنا لان عندنا شغل مدرسة وغيرها ونتابع الفريق لي بنشجعها يعني ما نتابع كل المباريات,0
الدوري الاسباني علي احره وفي نهايته ومتبقي ثلاث جولات والصراع مشتد بين الكبار أتلتيكو مدريد ب 77 نقطة ومدريد ب 75 نقطة وبرشلونة ب 75 نقطة ايضا ومن ياتري سوف يفوز بالدوري La lugga الموجهات بين الثلاث فرق محسومة لريال مدريد بسبب تفوقه علي الفريقين ذهابا وايابا حيث فاز علي اتلتيكو بمباراة وتعادل في الأخري وفاز ذهابا وايابا علي برشلونة   كيف يحصل اتلتيكو مدريد علي اللقب   اذا فاز في جميع مبارياته المتبقية ولا ينظر لنتائج الاخرين   وريال مدريد يحتاج الفوز بجميع مبارياته وخسارة أتلتيكو او تعادله في مباراة وسوف يتوج باللقب اما برشلونة فيحتاج معجزة ومساعدة الفرق الاخري بالفوز علي اتلتيكو مدريد وريال مدريد في مباراة واحدة ويفوز بجميع مبارياته كي يحصل علي اللقب   من متابعتي للدوري الإسباني لا نجد فريق ضعيف او فريق قوي كل الفرق تستطيع الفوز علي الاخري ولكن بالتفاصيل الصغيرة ومثال علي ذلك فريق برشلونة خسر من غرناطة في الكامب نو ولو فاز بهذه المباراة لكان متصدر الدوري   اخر جولتين من الدوري سوف تلعب بتوقيت واحد في نفس اليوم حتي تكون الحظوظ متساوية للبطل والفرق الهابطة     السؤال من ياترى سوف يفوز باللقب  ,0,انا مدريدي  وطبها اتمنى فوز الريال  ولكن الريال سيخوض اصعب مباريات من بين الفرق الثلاثة  لقد تعادل مع اشبيلية  لديه مباراة مع غرناطة الذي هزم برشلونه  ثم تليها ملحمتين  الاولى مع اتلتيكو بلباو في معقلهم  سان ماميس وسيكون محظوظا لو خرج متعادلا  ثم يلعب مع فياريال الذي هو يبحث عن مقعد في دوري الابطال او الدوري الاوربي  بصراحة المشكلة ان الريال ليس هو الريال  ليس لديه هداف واصاباته كثيرة   لو كان رونالدو حاظرا لما كان هناك مشكلة  ولكن التشكيلة كلها غير مطمئنة اجد ان فوز الريال شبه مستحيل برشلونه رحلته سهلة جدا واسهل الجميع ليفانتي وسلتا فيغو وايبار  نسبة الى وضع برشلونه يستطيع ان يفوز بسهولة في هذه المباريات الثلاثة المتبقية على امل ان يتعادل اتلتيكو في احدى المباريات  اجد ان حظوظ برشلونه اكثر من الريال ومن اتلتيكو اتلتيكو نظريا الافظل حظا كونه يمتلك زمام الامور بنفسه  يستطيع الفوز اذا لعب وفاز المباريات الثلاث المتبقية بغض النظر عن نتائج الاخرينؤ ولكن مبارياته الثلاثة مع فرق متوسطة المستوى ولكنها عنيدة  اوسوسونا وسوديداد وبلد الوليد فرق ممكن ان تعمل ازعاجا لاتلتيكو وتجعله يتلكاء شخصيا اتصور ان برشلونه سيفوز  ثم اتلتيكو  ثم الريال من ناحية الحظوظ  اما التمنيات فاتمنى فوز ريال مدريد باللقب ,0
هل تعلم من هو أغنى لاعب في العالم ,0,ديفد بيكاهم,1
ما هي مسابقة السوبر الأوروبي  ولماذا الكل يتحدث عنها ,0,لقد شعر عملاقة الكرة الاوروبية من الدوريات الانجليزي والاسباني والايطالي الكبار انهم يتقاسمون الأرباح مع الفرق الصغيرة في دوري أبطال أوروبا   واعترضوا على نظام التوزيع  لأنهم يرون في أنفسهم  أنهم السبب في تلك الأرباح الضخمه   فقروا ان يكونوا بطولة لهم فقط   تضم ١٥ عشرة ناديا   وبتمويل ضخم من بنك جي بي مورجان   ,0
ما هي الإنجازات التي حققها فلورينتينو بيريز ,0,اصبح بيريز رئيس ريال مدريد الحالي حديث الساعة  قلب الطاولة على الاتحاد الأوروبي و التغير قادم  لمزيد من المعلومات اقرا ماقاله في مقابلته الأخيرة  فلورينتينو بيريز أخطر رجل على كوكب الأرض حاليا  ,0
ما رأيكم في أداء موقع beinsport life يوم أمس  وما رأيكم في أداء البث الرياضي الخاص بالمباريات عليه ,0,اعلانات مزعجة للغاية ,1
انا لاعب كرة قدم جالي رباط صليبي وغضروف وعملت العمليتين وبعدها ب 6 شهور جالي رباط صليبي تاني في نفس الرجل اعمل اية  ,0,الحمد لله ع السلامة    راحغ طبيب الطب الرياضي لتقييم حالتك,1
من هو أعظم لاعب عربي في كل العصور ,1,الى حد قبل ٥ سنوات كان اللاعب الجزائري رباح مادجر هو افضل لاعب وبدون منازعانجازاته لا يدانيها انجازات لاي لاعب عربي اخرمن الاحتراف في بورتو الى الفوز بدوري الابطال وبهدف اكثر من رائع في مرمى بايرن ميونخ وحتى على مستوى كاس العالم وغيرها في الحقيقة كانت انجازات كمية ونوعية لم يستطع اي لاعب ان يقترب منها اما الان فالصورة مختلفة ما يحققه مجموعة من اللاعبين في الدوريات الاوربية يعتبر مفخرة بكل معنى الكلمة وبالاخص محمد صلاح نجم ليفربول هذا الرجل اعتقد انه اعظم لاعب عربي لحد الان اللعب في الدوري الانكليزي ومع ليفربول والحصول على كل الالقاب الممكنه وبتميز وباحترافية وهو النجم الاول للفريق والهداف الافضل تاريخيا بالاظافة الى دوري الابطال وحزمه من الجوائز الفردية والجماعية مصحوبة بالخلق العالي والدماثة والطيبة فعلا هو الافضل لحد الان حتى تجود الملاعب بالافضل والافضل ,0
هل اللحوم ضرورية لبناء العضلات ,0,طبعا لان فيها بروتينات والروتين هو العامل الأساسي لبناء العضلات,1
هل لديك الرغبة في الكتابة الرياضية في موقع جديد www sportglobel com  ,0,هل تقصد ماهي الموضوعات و الشروط  ,0
من هم أسرع اللاعبين في العالم على الإطلاق ,0,أصبحت كرة القدم في عصرنا الحالي تعتمد على السرعة العالية والبنية القوية وهذا ما يجعل للاعبين يتميزون عن غيرهم  والجري أسرع من مدافعي الخصم ميزة رائعة يحبذها أفضل المدربين في العالم أمثال والجري أسرع من مدافعي الخصم ميزة رائعة يحبذها أفضل المدربين في العالم أمثال اليكم   ,0
ما هي مميزات وعيوب الوصول لاقصى عدد من تمرين الضغط من خلال مجموعه واحدة وزيادة هذا العدد بمقدار عدة واحدة كل يوم ,0,عدم الوصول لمستوي جيد واحتماليه الاجهاد العضلي الذي يسبب لضمور وضعف في العضلاتهناك مبدئ في التدريب يسمي بالتدرج وهو يقوم علي التدرج في الاوزان او العدات والطبيعي زياده 5  من شده الحمل  الوزن او العدد  كل اسبوعان شهر علي حسب استجابه جسمك للتمرين ومعدل استشفاءةالارتقاء في مستوي اللياقة يحتاج الي تمرين وغذاء ونومولا تتم عمليه الارتقاء في يوم وليله بل تحتاج لشهور  الجسم يأخذ وقته لاعاده بناء انسجه جديده وقوية,0
ما أنواع خطط التمرين المستخدمة في الجيم ,0,التطبيقات دي هتساعدك تعمل خطة تمرين سواء فى الجيم او البيت,0
ما ميزة لعبة الشطرنج ,0,إجابتي عليك ستكون مختلفة نوعا ما   أقرأها بتمعن و هدوءتعلملت الشطرنج منذ ثلاث سنوات وحدي   و بدأت في اللعب عبر الانترنت مع اصدقائي لانني كنت شغوف جدا عند سماعي عن تلك الل عبة المميزة التي يمارسها العباقرة و كيف يفكرون و ما الى ذالك و بدأت في اللعب فخسرت ما يقرب من خمسمائة لعبة من م ختلف اصدقائي   و استمررت غي التدرب و فهم القواعد اكثر و أكثر حتى حصلت على المركز الثاني في دورة مدرسية و بعد خبرة ليست بقليلة اقول لك أسبابي الخاصة للتعلم اللعبة و النصائح التي يجب عليك مراجعتها  ,1
من جلس على كرسي رئاسة النادي الأهلي أطول فترة ,0,على مدار تاريخه الطويل والحافل بالإنجازات والبطولات تول ى رئاسة النادي الأهلي العديد من الرموز والنجوم الذين أداروا القلعة الحمراء لسنوات طويلة ومنهم من قضى فترة قصيرة وهو ما نرصده فى التقرير التالي 1_ميتشيل إنسي عد ميتشيل أنس صاحب الجنسية الإنجليزية أول رئيس في التاريخ يتولى قياده الأهلي2_عزيز عزت باشاأول رئيس مصرى فى تاريخ الأهلي تولي القيادة في 2 أبريل 1908 إلى 9 فبراير 19163_عبد الخالق ثروت باشاهو مؤسس قانون الأهلي وتولي قياده النادي في 9 فبراير 1916 إلى 14 فبراير 1922 4_جعفر والي باشاتولي قيادة الأهلي من 14 فبراير 1924 إلي 2 فبراير 1944  وتعتبر أطول فترة رئاسة في تاريخ الأهلي 5_أحمد حسنين باشاتولي رئاسة النادي في 1 يناير 1944 حتى فبراير 1946 6_أحمد عبود باشاتولي الرئاسة من 19 فبراير 1947 إلى 19 ديسمبر 1961 7_صلاح الدين الدسوقيهو صاحب فكرة مقر الأهلي الحالي وتولي الرئاسة من 3 ديسمبر 1963 إلى 15 ديسمبر 19658_الفريق عبد المحسن كامل مرتجيتولي رئاسة الاهلي على فترتين    الأولي في 15ديسمبر 1965 حتى 13 يوليو 1967 ثم عاد لكرسي الرئاسة مرة أخري من 8 نوفمبر 1972 إلي 12 ديسمبر 19809_ إبراهيم الوكيلتولي الرئاسة في 18 يوليو 1967 وحتى 8 يوليو 197110_عبده صالح الوحشتولي رئاسة الاهلي في 16 ديسمبر 1988 إلى 6 فبراير 199211_صالح سليمتولي رئاسة الأهلي   الأولي  من 12 ديسمبر 1980 إلى 16 ديسمبر 1988  فيما كانت لفترة الثانية  من 6 فبراير 1992 إلى 6 مايو 200212_حسن حمديتولي رئاسة النادي في 6 فبراير 2002 حتى 29 مارس 201413_ محمود طاهرتولي رئاسة النادي في 29 مارس 2014 إلى 30 نوفمبر 201714_محمود الخطيبتولي رئاسة النادي من 1 ديسمبر 2017 حتى الآن ,0
كيف تكون لاعب كرة سلة جيد ,0,إذا كنت تمارس كرة السلة كلاعب في فريق اتبع النصائح التالية لكي تكون لاعب كرة سلة جيد   التدريب على المهارات الهجومية في غير أوقات التدريب مع مدرب أو بشكل فردي التدريب البدني ثلاث مرات أسبوعيا لزيادة القوة العضلية اللازمة لنجاح الاداء المهاري مشاهدة المباريات و تحليل أداء اللاعبين لزيادة الخبرة الموقفية المرتبطة بالمباريات التحدث مع المدرب للتعرف على نقاط الضعف و محاولة تحسينها من خلال التدريبات التي ذكرتها في اول عبارة و أخيرا لاعب كرة السلة يقيم بمدى فعاليته أثناء المباراة أما إذا كنت تمارسها كهاو فعليك بالتدريب على المهارات الهجومية و المشاركة في مسابقات كرة السلة 3 3,0
أواجه مشكلة في لعب كرة القدم وهي عندما يتم تمرير الكرة لي أتوتر ولا أعرف ماذا أفعل بها وفي بعض الأحيان أكون واقفا  في مكاني  ما الحل ,0,والكرة قادمة قبل أن تصلك انظر حولك لتعرف من منك قريب ومن منك بعيد لتعرف ان تتصرف بها وثق بنفسك واعرف قدر مهاراتك فقط ولا تبالغ,0
ما رأيك في مستوي الأهلي في بطولة كأس العالم للأندية  هل كان في الإمكان أفضل من تحقيقه المركز الثالث في البطولة ,0,اعتقد ان المستوي التكتيكي للنادي الاهلي في هذه البطوله كان جيدجدا و لكن علي مستوي الاداء الجمالي لم يكن كما كان متوقع وبالنظر الي مواجهة البايرن في نصف النهائي فاعتقد ان بان حصولنا علي البرونزيه هو اقصي ما يمكن تحقيقه,1
